,tendencia,explicación,url,media,time,suceso
368,IvanNoble,Por el tweet que publicó,https://t.co/YzYri0K7EW,https://pbs.twimg.com/media/Ez5u0o7XEAEGwSI.jpg,26/04/2021 13:04:51,mediático
369,Virrey,Porque Carlos Bianchi cumple 72 años,https://t.co/ydpsEAwebg,https://pbs.twimg.com/media/Ez3riA-WYAI7EVf.jpg,26/04/2021 3:31:13,conmemorativo
370,Oscars,Por la entrega de su edición 2021,https://t.co/iy3vMBWIUn,https://pbs.twimg.com/media/Ez3qML1WQAAUeC5.jpg,26/04/2021 3:25:23,artístico
371,SanLorenzo,Porque venció a River en la #CopaDeLaLiga,https://t.co/MgtSy85Z21,https://pbs.twimg.com/media/Ez2tqQZWUAYqOJC.jpg,25/04/2021 23:00:54,deportivo
372,TINIBECERRA,Porque anunciaron su colaboración para la canción #MIENTEME,https://t.co/HDSFEcZhnS,https://pbs.twimg.com/media/Ez2h2ciXIAQwSb4.jpg,25/04/2021 22:09:18,artístico
373,Ibai,Por los comentarios de Gustavo López sobre @IbaiLlanos en #UnBuenMomento,https://t.co/Hu74C29bJO,https://pbs.twimg.com/ext_tw_video_thumb/1386430738136961028/pu/img/j-sWm7jknMH1Vf6_.jpg,25/04/2021 21:23:51,mediático
374,VamosRacing,Por su victoria ante Colón en la #CopaDeLaLiga,https://t.co/4Goif9sXiK,https://pbs.twimg.com/media/Ez2PLNhWYAU89M9.jpg,25/04/2021 20:47:43,deportivo
375,Nadal,Porque venció a Stefanos Tsitsipas y se consagró campeón del #BCNOpenBS,https://t.co/je3Ot8cLqp,https://pbs.twimg.com/media/Ez1ntsUWEAISwSp.jpg,25/04/2021 17:55:21,deportivo
376,Laporte,Porque convirtió el gol para que Manchester City derrote a Tottenham y se consagre campeón de la #CarabaoCup,https://t.co/EVG38VBBlJ,https://pbs.twimg.com/media/Ez1hJxpXMAEgaC2.jpg,25/04/2021 17:26:41,deportivo
377,Vélez,Porque venció a Lanús y clasificó a la siguiente fase de la #CopaDeLaLiga,https://t.co/6UyGdPFCmp,https://pbs.twimg.com/media/Ez1QJvhWQAEDxkL.jpg,25/04/2021 16:12:22,deportivo
378,Trigueros,Porque fue expulsado del partido entre Villarreal y Barcelona tras su golpe a Lionel Messi,https://t.co/rgVYrV81Wc,https://pbs.twimg.com/amplify_video_thumb/1386344483835596804/img/zIgtuNWmevt12xYe.jpg,25/04/2021 16:10:29,deportivo
379,Griezmann,Porque convirtió los dos goles para la victoria de Barcelona ante Villarreal en la #LaLiga,https://t.co/gMDeybtUAp,https://pbs.twimg.com/media/Ez08zVjXIAAXhXl.jpg,25/04/2021 16:09:35,deportivo
380,Carmela,Por el cruce entre @CarmelaMoreau y @vivicanosaok,https://t.co/aEtSpDfPkT,https://pbs.twimg.com/media/Ez1EXjYXIAEPqBP.jpg,25/04/2021 15:20:53,mediático
381,Leeds,Porque igualó con Manchester United en la #PremierLeague,https://t.co/I4YWlIPAaY,https://pbs.twimg.com/media/Ez0-snEWEAMWOOt.jpg,25/04/2021 14:56:06,deportivo
382,OVNIS,Por un artículo de New York Post,https://t.co/WvUQWn3Y3U,https://pbs.twimg.com/media/Ez09U9IX0AQqQGj.png,25/04/2021 14:50:06,aislado
383,AlPacino,Porque cumple 81 años,https://t.co/l00689N6e9,https://pbs.twimg.com/media/Ez04GvQWYAMckfM.jpg,25/04/2021 14:27:18,conmemorativo
384,AliciaKirchner,Por un artículo de El Destape,https://t.co/2JyMH9u8EQ,https://media.cdn.eldestapeweb.com/eldestape/042021/1619300727544.webp?cw=770&ch=440&extw=jpg,25/04/2021 14:26:47,mediático
385,Burnley,Porque venció a Wolves en la #PremierLeague,https://t.co/Fcr4Djy0Jx,https://pbs.twimg.com/media/Ez03zQYWUAUQU5K.jpg,25/04/2021 14:25:58,deportivo
386,Independiente,Porque empató con Unión en la #CopaDeLaLiga,https://t.co/1Nb9JTMfHV,https://pbs.twimg.com/media/EzyMSY9WUAEqjgS.jpg,25/04/2021 1:56:37,deportivo
387,LauraAlonso,Porque Mauricio Macri contó que empezó el curso que dicta sobre Domingo Faustino Sarmiento,https://t.co/VggQ2d3UAe,https://pbs.twimg.com/media/EzxlfVTXEAAatJP.png,24/04/2021 23:07:06,político
388,Pavón,Porque volvió a jugar en Boca,https://t.co/YPq6Ozebfa,https://pbs.twimg.com/media/EzxlW2XX0AA9qKk.jpg,24/04/2021 23:06:31,deportivo
389,VamosBoca,Por su victoria ante Huracán en la #CopaDeLaLiga,https://t.co/ejfBVcasiO,https://pbs.twimg.com/media/EzxkjnSXMAIQ1Ws.jpg,24/04/2021 23:03:01,deportivo
390,Betis,Porque empató con Real Madrid en #LaLiga,https://t.co/lvjVoYU0Or,https://pbs.twimg.com/media/EzxIOBKXIAA5tVW.jpg,24/04/2021 20:59:13,deportivo
391,Cruz,Por su gol para el empate de Banfield ante Argentinos Juniors en la #CopaDeLaLiga,https://t.co/GxpUI2ky7x,https://pbs.twimg.com/amplify_video_thumb/1386059668980645891/img/VHLUElF0BgxmhwFp.jpg,24/04/2021 20:58:57,deportivo
392,Cuero,Porque fue expulsado del partido de Banfield ante Argentinos Juniors por escupir a Miguel Torrén,https://t.co/3tZ4nLyZ3H,https://pbs.twimg.com/media/Ezw_8-gX0AEAh5Q.jpg,24/04/2021 20:33:37,deportivo
393,MIENTEMECOMING,Porque Tini anunció el lanzamiento de #MIENTEME para el 29 de abril,https://t.co/qt7Q6ce71F,https://pbs.twimg.com/media/Ezw_vu-WQAgxi1A.jpg,24/04/2021 20:22:12,artístico
394,AníbalFernández,Porque resultó electo presidente de la Confederación Argentina de Hockey,https://t.co/AFGjpsnX4F,https://pbs.twimg.com/media/Ezw-oEFWEAgtAyd.jpg,24/04/2021 20:17:18,deportivo
395,Knicks,Por su victoria ante Toronto Raptors en la #NBA,https://t.co/fP4IJnGQyn,https://pbs.twimg.com/media/Ezw-il3WYAoFTjg.jpg,24/04/2021 20:16:56,deportivo
396,AllBoys,Porque derrotó a Gimnasia de Jujuy en la #PrimeraNacional,https://t.co/0uI7QNEtoq,https://pbs.twimg.com/media/Ezws9dIWQAEYHeR.jpg,24/04/2021 19:00:07,deportivo
397,Werner,Porque marcó el gol para la victoria de Chelsea ante West Ham en la #PremierLeague,https://t.co/sNpvUonPiF,https://pbs.twimg.com/media/Ezwm25rWUAY3SKF.jpg,24/04/2021 18:33:28,deportivo
398,Patronato,Porque venció a Sarmiento en la #CopaDeLaLiga,https://t.co/0e5qT56FWH,https://pbs.twimg.com/media/Ezwm003XoAYykYr.jpg,24/04/2021 18:33:19,deportivo
399,Icardi,Por su gol para la victoria de PSG ante Metz en la #Ligue1 https://t.co/SWrJD1TTNz,https://t.co/SWrJD1TTNz,https://pbs.twimg.com/media/EzwVT1yXoAA1oim.jpg,24/04/2021 17:16:48,deportivo
400,Tinelli,Porque informan que la Justicia allanó e imputó a una persona tras su denuncia por amenazas,https://t.co/tm7SuUpQPB,https://pbs.twimg.com/media/EzwT-iUXIAIqfTu.jpg,24/04/2021 17:10:58,aislado
401,Haaland,Porque convirtió los dos goles para la victoria de Borussia Dortmund ante Wolfsburgo en la #Bundesliga,https://t.co/BFfzjNG2VD,https://pbs.twimg.com/media/EzwFulNXsAMx3ag.jpg,24/04/2021 16:08:43,deportivo
402,Nadal,Porque derrotó a Pablo Carreño Busta y avanzó a la final de #BCNOpenBS,https://t.co/x7N1kFBGXh,https://pbs.twimg.com/media/EzwBMiuWEAM17mI.jpg,24/04/2021 15:48:56,deportivo
403,Mainz,Porque venció al Bayern Munich en la #Bundesliga,https://t.co/m8YthzXoQU,https://pbs.twimg.com/media/EzwAlp_WUAIj9nc.jpg,24/04/2021 15:46:17,deportivo
404,Newcastle,Porque igualó con Liverpool en la #PremierLeague,https://t.co/JDHoGKbfxh,https://pbs.twimg.com/media/Ezvr5AfXIAAg1Cd.jpg,24/04/2021 14:15:50,deportivo
405,TopMiseria,Por un artículo de Infobae sobre el índice publicado en National Review,https://t.co/KyABXQwpDX,https://pbs.twimg.com/media/EzvrvNBWEAQeICf.jpg,24/04/2021 14:15:10,mediático
406,MarioMeoni,Porque informan que murió en un accidente de tránsito,https://t.co/MyrTvEBrNv,https://pbs.twimg.com/media/EztK4daXoAAls0k.jpg,24/04/2021 2:32:22,trágico
407,JuanaViale,Por sus declaraciones en LN+,https://t.co/m9DlFWyYam,https://pbs.twimg.com/media/Ezs4OirWYAgXRO6.jpg,24/04/2021 1:10:52,mediático
408,VUELVETINI,Por el tweet que publicó @TiniStoessel,https://t.co/5M9HO1wNhf,https://pbs.twimg.com/media/Ezs1B55XoAI9dOH.jpg,24/04/2021 0:56:54,aislado
409,Wanchope,Porque informan que sufrió una lesión en su cadera,https://t.co/dU8yTHDrM8,https://pbs.twimg.com/media/EzswcRmWQAAQhGM.jpg,24/04/2021 0:36:51,deportivo
410,Coldplay,Por un mensaje publicado en ALIEN FM que incluye la fecha 7 de mayo,https://t.co/UBexlHzzpH,https://pbs.twimg.com/media/EzskDhOXoAIT04q.jpg,23/04/2021 23:42:44,mediático
411,Calafate,Porque informan que Cristina Kirchner viajó a esa ciudad,https://t.co/7k8EmG8xhN,https://pbs.twimg.com/media/Ezsj4BWXIAAF78A.jpg,23/04/2021 23:41:57,político
412,CapitánAmérica,Porque informan que está en desarrollo la cuarta película sobre ese personaje,https://t.co/gTk4Otf8X6,https://pbs.twimg.com/media/EzsDWYdXsAMBHtR.jpg,23/04/2021 21:19:50,artístico
413,Samid,Por el tweet que publicó,https://t.co/dSLpCqVAEz,https://pbs.twimg.com/media/Ezr_EmXWUAMLglH.jpg,23/04/2021 21:01:09,aislado
414,Everton,Porque venció al Arsenal en la #PremierLeague,https://t.co/LNguXIPldb,https://pbs.twimg.com/media/Ezr92DRXoAkNqTI.jpg,23/04/2021 20:55:47,deportivo
415,Pavón,Porque informan que podría ser convocado para el partido de Boca ante Huracán,https://t.co/dWGdrMZEZP,https://pbs.twimg.com/media/Ezrns7aWQAYs4zv.jpg,23/04/2021 19:19:03,deportivo
416,LaBoca,Por el tweet que publicó @PatoBullrich,https://t.co/sCvhDZY1nm,https://pbs.twimg.com/media/Ezrnir5XsAYFkCD.jpg,23/04/2021 19:18:21,político
417,Beto,Porque @Beto10Alonso recibió la vacuna contra el #COVID19,https://t.co/zi57HYClWr,https://pbs.twimg.com/media/EzrPk_CXEAETRkA.jpg,23/04/2021 17:33:39,covid
418,IMAGINENOW,Por la nueva canción de Ben Platt,https://t.co/9LnX2rrfgA,https://pbs.twimg.com/media/EzrPh2HXsAI7aEL.jpg,23/04/2021 17:33:26,artístico
419,Coello,Porque Arturo Coello y Miguel Lamperti avanzaron a semifinales del #WPTAlicanteOpen,https://t.co/oOx0KvQWy0,https://pbs.twimg.com/media/EzrLKHAWYAc2LON.jpg,23/04/2021 17:14:20,deportivo
420,DiegoBrancatelli,Porque dio positivo de #COVID19,https://t.co/7HJrWStEib,https://pbs.twimg.com/media/EzrDHzhXEAc77sO.jpg,23/04/2021 16:39:13,covid
421,PaulaEspañol,Por sus declaraciones en #HabraConsecuencias sobre la posibilidad de aumentar las retenciones a los alimentos,https://t.co/iB8J8A0srd,https://pbs.twimg.com/ext_tw_video_thumb/1385614302837624834/pu/img/VVaX55CVmy1zOGCk.jpg,23/04/2021 15:19:36,político
422,Sorpresa,Por el tweet que publicó @clarincom,https://t.co/PcaygTepEv,https://pbs.twimg.com/media/Ezqt06SWQAQeCNK.jpg,23/04/2021 15:06:11,mediático
423,Vázquez,Porque convirtió los cuatro goles para la victoria de Boca ante Huracán en #Reserva,https://t.co/UjtnLn3per,https://pbs.twimg.com/media/EzqtOifWEAIzsmd.jpg,23/04/2021 15:03:34,deportivo
424,Quirós,Por sus declaraciones sobre la asignación de turnos de vacunación para afiliados del PAMI en la Ciudad de Buenos Aires,https://t.co/CFp6RxyPKR,https://pbs.twimg.com/ext_tw_video_thumb/1385609416356073475/pu/img/oylP5VbxIWSNlmdj.jpg,23/04/2021 15:00:20,covid
425,ZacEfron,Por los comentarios sobre él tras su participación en un evento por el #DiaDeLaTierra,https://t.co/NTKVEpTrjn,https://pbs.twimg.com/media/Ezqlg_gX0AUHDQO.jpg,23/04/2021 14:29:52,aislado
426,StickyFingers,Porque se cumplen 50 años desde el lanzamiento de ese álbum de #TheRollingStones,https://t.co/QVt9GNZovv,https://howlandechoes.com/wp-content/uploads/2015/05/Rolling_Stones_1971-sticky-fingers.jpg,23/04/2021 13:56:21,conmemorativo
427,FalconAndWinterSoldierFinale,Porque el episodio final de #FalconAndWinterSoldier ya está disponible en Disney Plus,https://t.co/M2PeBMDbY7,https://pbs.twimg.com/media/Ew2PUr7WEAA6dhz.jpg,23/04/2021 13:55:33,artístico
428,SAVETONIGHT,Porque The Weeknd lanzó el remix de #SaveYourTears con Ariana Grande,https://t.co/y97gx7c1Zt,https://pbs.twimg.com/media/EzoXO04X0AM5a8u.jpg,23/04/2021 4:08:14,artístico
429,Berni,Por sus declaraciones en #MasRealidad,https://t.co/Mc7ewWgAQd,https://pbs.twimg.com/ext_tw_video_thumb/1385425016792158209/pu/img/eMrOMfHwOzkZ6XQy.jpg,23/04/2021 2:51:56,político
430,FlorenciaPeña,Por tweets que publicó @Flor_de_P,https://t.co/jvMLHoFPKf,https://pbs.twimg.com/media/EzoAsibXIBQY-0k.png,23/04/2021 2:29:47,mediático
431,River,Porque empató con Fluminense en la fase de grupos de la #Libertadores,https://t.co/I0pdLmOqls,https://pbs.twimg.com/media/Eznc5HPXEAIGqxU.jpg,22/04/2021 23:53:20,deportivo
432,LaUTA,Porque anunció un paro de actividades en todo el país para el 26 de abril,https://t.co/DqxzJgh3gw,https://pbs.twimg.com/media/EzncKziWEAAwvgS.jpg,22/04/2021 23:50:10,político
433,Lionel,Porque Messi hizo dos goles y una asistencia para la victoria de Barcelona ante Getafe en #LaLiga,https://t.co/OnP3tuov0s,https://pbs.twimg.com/media/EznCtb_X0AgZdM0.jpg,22/04/2021 21:58:57,deportivo
434,SantiagoSilva,Porque informan que fue habilitado para volver a jugar al fútbol profesionalmente,https://t.co/I5wAGvJs9O,https://pbs.twimg.com/media/Ezm7xmSX0AI4luK.jpg,22/04/2021 21:28:38,deportivo
435,PAMI,Por el hilo que publicó @luanavolnovich,https://t.co/ZyseweurPy,https://pbs.twimg.com/media/Ezm61_XXIAw0z9h.png,22/04/2021 21:24:34,político
436,Duki,Por su nuevo álbum #DesdeElFinDelMundo,https://t.co/Pjz99gNdZU,https://letrasbd.com/i/bands/350/duki-desde-el-fin-del-mundo.jpg,22/04/2021 21:13:30,artístico
437,Emelec,Porque venció a Talleres en la fase de grupos de la #Sudamericana,https://t.co/N42Wcm3wKK,https://pbs.twimg.com/media/Ezm2F5cWYAExHVt.jpg,22/04/2021 21:03:49,deportivo
438,LasPASO,Porque Juntos por el Cambio anunció que acompañará la propuesta para retrasar el cronograma electoral,https://t.co/sTPGPVlcd9,https://pbs.twimg.com/media/Ezm1MlxXEAQJwiY.jpg,22/04/2021 20:59:54,político
439,Sinopharm,Porque informan que Aerolíneas Argentinas y Lufthansa traerán un millón de dosis de esa vacuna en los próximos días,https://t.co/WPhjWg9X0f,https://pbs.twimg.com/media/EuyUpiXWgAM2wLV.jpg,22/04/2021 20:25:24,covid
440,GracielaAlfano,Porque contó que recibió la vacuna contra el #COVID19,https://t.co/NpgQvUyfDv,https://pbs.twimg.com/media/EzmcHR0WQAA2rVI.jpg,22/04/2021 19:10:19,covid
441,Nature,Por el artículo de Clarín sobre un estudio publicado en esa revista,https://t.co/5ZD7LX4okm,https://pbs.twimg.com/media/EzmWKiPWQAM5TcX.png,22/04/2021 18:44:19,mediático
442,JuliaMengolini,Porque contó en #SegurolaYHabana que fumó marihuana durante su embarazo,https://t.co/ToUBGDO1Z2,https://pbs.twimg.com/ext_tw_video_thumb/1385281059932319750/pu/img/-ti3Z6mNR3tflJ76.jpg,22/04/2021 17:15:27,aislado
443,Biden,Porque tuvo que retirarse del #LeadersSummitOnClimate antes de la intervención de Alberto Fernández,https://t.co/dTCgbMPRmC,https://pbs.twimg.com/ext_tw_video_thumb/1385276213111967745/pu/img/GGhC_-vK5qK2xs_N.jpg,22/04/2021 16:56:12,político
444,JuanGrabois,Porque informan que fue designado como miembro consultor del Dicasterio para el Servicio del Desarrollo Humano Integral del Vaticano,https://t.co/SiVC5eU6Uj,https://pbs.twimg.com/media/EzloSnCWQAo1_Hq.jpg,22/04/2021 15:23:54,político
445,Laje,Porque aseguró que está de acuerdo con las declaraciones de Marcelo Longobardi,https://t.co/kI9L06NxuI,https://pbs.twimg.com/ext_tw_video_thumb/1385249383441178625/pu/img/seu5rVi4m8zyr3F-.jpg,22/04/2021 15:10:43,político
446,Garrahan,Porque hay 39 niños internados con #COVID19 en ese hospital,https://t.co/yoSYk7uHa3,https://pbs.twimg.com/ext_tw_video_thumb/1385247395030634503/pu/img/CkxAXAAyMwljOjBG.jpg,22/04/2021 15:01:59,covid
447,Google,Porque informan que Google dejó de funcionar debido a que venció su dominio y otra persona lo compró,https://t.co/i7XaIV9UPv,https://pbs.twimg.com/media/Ezi8c9mXMAAvgx2.jpg,22/04/2021 2:53:08,aislado
448,Herrera,Porque convirtió los tres goles para la victoria de Independiente ante Guabirá en la fase de grupos de la #Sudamericana,https://t.co/nnNILq3HjG,https://pbs.twimg.com/media/Ezi2sJlXsAIQcS5.jpg,22/04/2021 2:27:57,deportivo
449,Rentistas,Porque empató con Racing en la fase de grupos de la #Libertadores,https://t.co/eokhawdWxl,https://pbs.twimg.com/media/EzixANUXEAEnZSl.jpg,22/04/2021 2:03:06,deportivo
450,Huachipato,Porque venció a San Lorenzo en la fase de grupos de la #Sudamericana,https://t.co/aCS406JbHX,https://pbs.twimg.com/media/EziXC2dXMAA5enu.jpg,22/04/2021 0:09:41,deportivo
451,VamosBoca,Por su victoria ante The Strongest en la fase de grupos de la #Libertadores,https://t.co/V5IxVgRqy9,https://pbs.twimg.com/media/EziUKScWUAMRTX5.jpg,21/04/2021 23:57:05,deportivo
452,ElCM,Por los comentarios sobre un retweet de @alferdez,https://t.co/de5jFYuawa,https://pbs.twimg.com/media/Ezh2hpnWEAIXPHU.jpg,21/04/2021 21:47:36,político
453,Spezia,Porque igualó con Inter en la #SerieA,https://t.co/cvUOE5BLmP,https://pbs.twimg.com/media/Ezhr_FiWUAQ8Qa5.jpg,21/04/2021 21:01:33,deportivo
454,Rapallini,Porque será árbitro de la #EUROCOPA como parte de un acuerdo de cooperación entre UEFA y CONMEBOL,https://t.co/mD3bI1eXBn,https://pbs.twimg.com/media/Ezhrvc3WYAQRu8F.jpg,21/04/2021 21:00:29,deportivo
455,AmadoBoudou,Porque informan que la Justicia revocó su arresto domiciliario pero continuará detenido en su casa hasta que resuelva la Cámara de Casación,https://t.co/nM15GOeK49,https://pbs.twimg.com/media/EzhmWPEXsAUm8Vu.png,21/04/2021 20:36:55,político
456,Mediana,Por los comentarios sobre las declaraciones de Axel Kicillof,https://t.co/TQzJWX5zSJ,https://pbs.twimg.com/ext_tw_video_thumb/1384965758367711237/pu/img/VP3LUhq6Iu1Jg6Bx.jpg,21/04/2021 20:22:34,político
457,HospitalGutiérrez,Porque informan que hay 10 niños internados con #COVID19 en ese hospital,https://t.co/6v6pNm8h0L,https://pbs.twimg.com/media/Ezhgp15XoAMXZjj.jpg,21/04/2021 20:12:03,covid
458,Fein,Por la publicación que hizo en su cuenta de Facebook,https://t.co/HwzTSzTx9a,https://pbs.twimg.com/media/EzhHu_wX0AAg5WJ.jpg,21/04/2021 18:23:11,covid
459,JimmyFallon,Porque Nicki Nicole se presentará en #TheTonightShow,https://t.co/rzUeJWaL7D,https://pbs.twimg.com/media/Ezg8pjxWYAAakm-.jpg,21/04/2021 17:34:45,artístico
460,EnzoPérez,Porque extendió su contrato con River hasta diciembre de 2023,https://t.co/M7406PT9mv,https://pbs.twimg.com/media/EzgyWYrWYAQM4cX.jpg,21/04/2021 16:49:44,deportivo
461,CamaraEnMano150K,Porque Cámara en Mano superó los 150 mil suscriptores en YouTube,https://t.co/WJCmTs2Wqg,https://pbs.twimg.com/media/EzgXKJFXIAAL8pp.jpg,21/04/2021 14:50:57,aislado
462,AlfredoGraciani,Porque informan que falleció a sus 56 años,https://t.co/cNp2jqe8T3,https://pbs.twimg.com/media/EzgVwZEXsAAAQpD.jpg,21/04/2021 14:44:49,trágico
463,Longobardi,Por sus declaraciones en Radio Mitre sobre la democracia,https://t.co/aAViRDVfRa,https://pbs.twimg.com/ext_tw_video_thumb/1384879889933905923/pu/img/dWL6ezEoT7_vmVYw.jpg,21/04/2021 14:41:18,mediático
464,PlayaCarmen,Porque Argentina abrirá un Consulado en esa ciudad de México,https://t.co/QwyLzLqjhs,https://pbs.twimg.com/media/EzgPxiXWEAAA9R7.png,21/04/2021 14:18:41,político
465,Prince,Porque se cumplen 5 años desde su fallecimiento,https://t.co/Ji54dPGL6q,https://pbs.twimg.com/media/EzgN7BXXEAQnECW.jpg,21/04/2021 14:10:35,conmemorativo
466,Tenembaum,Por su cruce con Pablo Avelluto en #YAQPA,https://t.co/oogxYHCg7K,https://pbs.twimg.com/ext_tw_video_thumb/1384871451875057665/pu/img/wyTjJdDjNC0kHCfd.jpg,21/04/2021 14:07:48,mediático
467,WhenImOlder,Por la nueva canción de Ashe,https://t.co/wH7X17toXa,https://pbs.twimg.com/media/EzgNAnVWEAUgYSN.jpg,21/04/2021 14:06:36,artístico
468,Flamengo,Porque derrotó a Vélez en la fase de grupos de la #Libertadores,https://t.co/pRWOPmVF9O,https://pbs.twimg.com/media/EzdtA2yWQAEGell.jpg,21/04/2021 2:27:34,deportivo
469,CristianLlama,Por el gol que convirtió para la victoria de Gimnasia de Mendoza ante Mitre,https://t.co/8G5rAq6wZz,https://pbs.twimg.com/ext_tw_video_thumb/1384682811404214273/pu/img/OXpAaUY0ARvJinP7.jpg,21/04/2021 2:04:24,deportivo
470,AAAJ,Por su victoria ante Nacional en la fase de grupos de la #Libertadores,https://t.co/D4LBSRsebj,https://pbs.twimg.com/media/EzdXvJAWYAAimlW.jpg,21/04/2021 0:54:36,deportivo
471,MAÑANACLASES,Porque informan que la Ciudad de Buenos Aires decidió que continúen las clases presenciales,https://t.co/AIHmtFaOzD,https://pbs.twimg.com/media/EzdSjR6XsAA_yMQ.jpg,21/04/2021 0:31:57,político
472,AlwaysReady,Porque derrotó a Internacional en la fase de grupos de la #Libertadores,https://t.co/Kvuw9QhZTr,https://pbs.twimg.com/media/EzdPfjrXMAE4v7z.jpg,21/04/2021 0:18:35,deportivo
473,BarcelonaEcuador,Porque venció a Santos en la fase de grupos de la #Libertadores,https://t.co/S5LSfASLBn,https://pbs.twimg.com/media/EzdN3RoXMAIDDqN.jpg,21/04/2021 0:11:28,deportivo
474,LaFederal,Porque informan que dejó sin efecto la medida que habilitaba las clases presenciales en la Ciudad de Buenos Aires,https://t.co/hwEzG8KzAJ,https://pbs.twimg.com/media/Ezc2agfWUAYBlBl.jpg,20/04/2021 22:29:01,político
475,Susana,Porque @Su_Gimenez publicó un audio falso de Alberto Fernández y luego lo eliminó,https://t.co/JJgEmram8e,https://pbs.twimg.com/ext_tw_video_thumb/1384625024263393284/pu/img/Bn-7z_YFCgE4VnqV.jpg,20/04/2021 21:50:33,mediático
476,DerekChauvin,Porque informan que el jurado lo declaró culpable del asesinato de George Floyd,https://t.co/AhKU3Suhvu,https://pbs.twimg.com/media/EzcrYmhXEAIu_x7.jpg,20/04/2021 21:40:50,político
477,Foresi,Por el cruce de @DanteForesi con @HoracioCabak,https://t.co/3Eq9rC534L,https://pbs.twimg.com/media/Ezcn9SjVEAADtGT.jpg,20/04/2021 21:25:53,mediático
478,Schalke,Porque el #S04 descendió a la #2Bundesliga,https://t.co/7PTRJzUSSi,https://pbs.twimg.com/media/Ezch-cqVoAQEQKw.jpg,20/04/2021 20:59:44,deportivo
479,AppleEvent,Por los nuevos anuncios de Apple,https://t.co/txmnD2het9,https://pbs.twimg.com/media/EzcEpSlX0AUoN6i.jpg,20/04/2021 18:51:36,aislado
480,Chelsea,Porque informan que Chelsea y Manchester City abandonarán #TheSuperLeague,https://t.co/0NamaiMWZF,https://pbs.twimg.com/media/EzcDVtdWYAA05_C.jpg,20/04/2021 18:45:53,deportivo
481,Moria,Porque habló en #LoDeMariana sobre su vacunación contra el #COVID19,https://t.co/CelGMEoITD,https://pbs.twimg.com/media/EzbwvJHWYAAgKX0.png,20/04/2021 17:24:36,covid
482,SamuelLlanos,Porque informan que la Policía lo busca tras hallar el cadáver de su pareja,https://t.co/joirWOvuKg,https://pbs.twimg.com/media/Ezbr_W2XsAAaAnZ.jpg,20/04/2021 17:03:52,político
483,Richmond,Porque se anunció la producción de la vacuna #SputnikV en ese laboratorio argentino,https://t.co/4f2oehmtmZ,https://pbs.twimg.com/media/Ezbm1l7XoAgjxNk.jpg,20/04/2021 16:41:20,covid
484,Fase3,Porque la Provincia de Buenos Aires incluyó nuevos municipios en esa fase de aislamiento,https://t.co/FOAvi4nMMm,https://pbs.twimg.com/media/EzbNembXEAEQqxD.jpg,20/04/2021 14:50:34,covid
485,Quirós,Porque contó que la Ciudad de Buenos Aires le pidió respiradores al Gobierno Nacional tras prestarle su reserva al sector privado,https://t.co/pLFCLSk20b,https://pbs.twimg.com/ext_tw_video_thumb/1384516083642773507/pu/img/oWj2pQy_DLI3TnjL.jpg,20/04/2021 14:35:47,covid
486,Francella,Por su participación en la campaña para pedir clases presenciales,https://t.co/QX7Km56Wi6,https://pbs.twimg.com/ext_tw_video_thumb/1384506998495096836/pu/img/LNCNg20FCkW_zqB4.jpg,20/04/2021 13:59:41,político
487,Avicii,Porque se cumplen 3 años desde su muerte,https://t.co/tltBztbX72,https://pbs.twimg.com/media/EzbBQEPXoAECdHH.jpg,20/04/2021 13:57:07,conmemorativo
488,Chad,Porque informan que su presidente Idriss Deby murió en combate,https://t.co/iWlv6Q955h,https://pbs.twimg.com/media/EzbBISqXoAM8xIu.jpg,20/04/2021 13:56:36,trágico
489,PablitoLescano,Por su nueva canción #PerritoMalvado junto a L-Gante,https://t.co/aWNd0Pm94M,https://pbs.twimg.com/media/EzbA74jWQA03vMp.jpg,20/04/2021 13:55:45,artístico
490,EstebanAndrada,Porque no fue convocado para el partido de Boca ante The Strongest luego de tener contacto estrecho con un caso sospechoso de #COVID19,https://t.co/HjvLcLXHlO,https://pbs.twimg.com/media/EzYW7DaWEAA_7KI.jpg,20/04/2021 1:32:57,deportivo
491,Arjona,Por un informe de #ElNoticiero,https://t.co/3Y9HU7gpq6,https://pbs.twimg.com/ext_tw_video_thumb/1384306722525876224/pu/img/l9H7PkK00rHw4Q21.jpg,20/04/2021 0:46:18,mediático
492,Florentino,Por sus declaraciones en @elchiringuitotv sobre #TheSuperLeague,https://t.co/dDP8daztZo,https://pbs.twimg.com/amplify_video_thumb/1384267156745904131/img/Kwx42fjzfI7bMUZs.jpg,19/04/2021 23:26:13,mediático
493,Platense,Porque venció a Banfield en la #CopaDeLaLiga,https://t.co/vpSGBwnqgc,https://pbs.twimg.com/media/EzX3smQVgAQ220p.jpg,19/04/2021 23:16:32,deportivo
494,Chacarita,Porque derrotó a Belgrano en la #PrimeraNacional,https://t.co/4smYiJW6fG,https://pbs.twimg.com/media/EzX3nPGVEAkdOZK.jpg,19/04/2021 23:16:09,deportivo
495,Magnin,Porque convirtió el gol para la victoria de Tigre ante Deportivo Maipú en la #PrimeraNacional,https://t.co/HR2V9Ezy0S,https://pbs.twimg.com/ext_tw_video_thumb/1384225262200528904/pu/img/xLw0p770prjeTtPZ.jpg,19/04/2021 21:26:55,deportivo
